time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-05-01,BARC,mean,1,0,6.0307670443590915,22.382492669370354
2021-05-02,BARC,mean,1,0,6.026640580074725,22.386153321160705
2021-05-03,BARC,mean,1,0,6.022154560910129,22.37575270428664
2021-05-04,BARC,mean,1,0,5.9548812447185755,22.384294922499496
2021-05-05,BARC,mean,1,0,5.9361724630739685,22.382730225255372
2021-05-06,BARC,mean,1,0,5.975867923448578,22.387621565898385
2021-05-07,BARC,mean,1,0,5.9032711448581505,22.375310316534023
2021-05-08,BARC,mean,1,0,5.939580332163569,22.385304861948242
2021-05-01,BARC,sd,1,0,1.2576992380821532,0.15494922548291926
2021-05-02,BARC,sd,1,0,1.392851958053044,0.16639115924661957
2021-05-03,BARC,sd,1,0,1.4356814401064164,0.16106055037729436
2021-05-04,BARC,sd,1,0,1.4841356931148393,0.16687292211698423
2021-05-05,BARC,sd,1,0,1.4479903441489457,0.17173599211280396
2021-05-06,BARC,sd,1,0,1.4625135594045016,0.17380229718722748
2021-05-07,BARC,sd,1,0,1.4846494415599307,0.17393684850563068
2021-05-08,BARC,sd,1,0,1.4671603891429454,0.17116987195340097
