time,siteID,statistic,forecast,data_assimilation,oxygen,temperature
2021-06-01,BARC,mean,1,0,7.20187385824462,22.54294459706182
2021-06-02,BARC,mean,1,0,7.169894707045727,22.537092221371168
2021-06-03,BARC,mean,1,0,7.139531885728418,22.53254431347304
2021-06-04,BARC,mean,1,0,7.1043010653608825,22.529002417109474
2021-06-05,BARC,mean,1,0,7.089096211121176,22.522892400262414
2021-06-06,BARC,mean,1,0,7.040725739899617,22.52329607655422
2021-06-07,BARC,mean,1,0,6.9721216430898245,22.520091192594954
2021-06-01,BARC,sd,1,0,0.1189980235483567,0.014007752253802387
2021-06-02,BARC,sd,1,0,0.13219209616145883,0.015635675864636975
2021-06-03,BARC,sd,1,0,0.10723238227076408,0.017280484272856264
2021-06-04,BARC,sd,1,0,0.12301926794207008,0.015109149537768596
2021-06-05,BARC,sd,1,0,0.11237268104409168,0.015532419157745565
2021-06-06,BARC,sd,1,0,0.12083354567955147,0.013886061656332755
2021-06-07,BARC,sd,1,0,0.12846840905918927,0.015210723544934543
