time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-06-01,BARC,mean,1,0,7.193936623820308,22.53886128288541
2021-06-02,BARC,mean,1,0,7.1949314163150815,22.532508854666336
2021-06-03,BARC,mean,1,0,7.167105341629053,22.52739808240302
2021-06-04,BARC,mean,1,0,7.0939022969991425,22.527121058265255
2021-06-05,BARC,mean,1,0,7.061006683896429,22.52300654055047
2021-06-06,BARC,mean,1,0,7.072737774019145,22.520284484619694
2021-06-07,BARC,mean,1,0,7.0206614544406785,22.51849098084415
2021-06-01,BARC,sd,1,0,0.11850594111202252,0.016898554787156423
2021-06-02,BARC,sd,1,0,0.12915002669671483,0.015343608785869257
2021-06-03,BARC,sd,1,0,0.11521177995734208,0.017236141810110486
2021-06-04,BARC,sd,1,0,0.12129713483371975,0.01448419637202172
2021-06-05,BARC,sd,1,0,0.13286622242002386,0.014592762618521814
2021-06-06,BARC,sd,1,0,0.12928080743168247,0.0151588903804579
2021-06-07,BARC,sd,1,0,0.14481475317532652,0.01429042763786838
